id,question,query,choice_labels,gold_letters,option_texts_json,option_a,option_b,option_c,option_d
en_0046,"Michelieu tells a prospective client, ""I may not have a long-term track record yet, but I'm sure that you'll be very pleased with my recommendations and service. In the three years that l've been in the business, my equity-oriented clients have averaged a total return of more than 26% a year."" The statement is true, but Michelieu only has a
few clients, and one of his clients took a large position in a penny stock (against Michelieu's advice) and realized a huge gain. This large re-turn caused the average of all of Michelieu's clients to exceed 26% a year. Without this one investment, the average gain would have been 8% a year. Has Michelieu violated the Standards?","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Michelieu tells a prospective client, ""I may not have a long-term track record yet, but I'm sure that you'll be very pleased with my recommendations and service. In the three years that l've been in the business, my equity-oriented clients have averaged a total return of more than 26% a year."" The statement is true, but Michelieu only has a
few clients, and one of his clients took a large position in a penny stock (against Michelieu's advice) and realized a huge gain. This large re-turn caused the average of all of Michelieu's clients to exceed 26% a year. Without this one investment, the average gain would have been 8% a year. Has Michelieu violated the Standards?

Options:
a. No, because Michelieu is not promising that he can earn a 26% return in the future.
b. No, because the statement is a true and accurate description of Michelieu's track record.
c. Yes, because the statement misrepresents Michelieu's track record.

Answer:","a,b,c",c,"{""a"": ""No, because Michelieu is not promising that he can earn a 26% return in the future."", ""b"": ""No, because the statement is a true and accurate description of Michelieu's track record."", ""c"": ""Yes, because the statement misrepresents Michelieu's track record. Answer:""}","No, because Michelieu is not promising that he can earn a 26% return in the future.","No, because the statement is a true and accurate description of Michelieu's track record.","Yes, because the statement misrepresents Michelieu's track record. Answer:",
en_0047,"An investment banking department of a brokerage firm often receives material nonpublic information that could have considerable value if used in advising the firm's brokerage clients. In order to conform to the Code and Standards, which one of the following is the best policy for the brokerage firm?","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: An investment banking department of a brokerage firm often receives material nonpublic information that could have considerable value if used in advising the firm's brokerage clients. In order to conform to the Code and Standards, which one of the following is the best policy for the brokerage firm?

Options:
a. Permanently prohibit both ""buy"" and ""sell"" recommendations of the stocks of clients of the investment banking department.
b. Establish physical and informational barriers within the firm to prevent the exchange of information between the investment banking and brokerage operations.
c. Monitor the exchange of information between the investment banking department and the brokerage operation.

Answer:","a,b,c",b,"{""a"": ""Permanently prohibit both \""buy\"" and \""sell\"" recommendations of the stocks of clients of the investment banking department."", ""b"": ""Establish physical and informational barriers within the firm to prevent the exchange of information between the investment banking and brokerage operations."", ""c"": ""Monitor the exchange of information between the investment banking department and the brokerage operation. Answer:""}","Permanently prohibit both ""buy"" and ""sell"" recommendations of the stocks of clients of the investment banking department.",Establish physical and informational barriers within the firm to prevent the exchange of information between the investment banking and brokerage operations.,Monitor the exchange of information between the investment banking department and the brokerage operation. Answer:,
en_0051,"A former hedge fund manager, Jackman, has decided to launch a new private wealth E 14t i 48. management firm. From his prior experiences, he believes the new firm needs to achieve US$1 million in assets under management in the first year. Jackman offers a US$10,000 incentive to any adviser who joins his firm with the minimum of US$200,000 in committed investments. Jackman places notice of the opening on several industry web portals and career search sites. Which of the following is correct according to the Code and Standards?","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: A former hedge fund manager, Jackman, has decided to launch a new private wealth E 14t i 48. management firm. From his prior experiences, he believes the new firm needs to achieve US$1 million in assets under management in the first year. Jackman offers a US$10,000 incentive to any adviser who joins his firm with the minimum of US$200,000 in committed investments. Jackman places notice of the opening on several industry web portals and career search sites. Which of the following is correct according to the Code and Standards?

Options:
a. A member or candidate is eligible for the new position and incentive if he or she can arrange for enough current clients to switch to the new firm and if the member or candidate discloses the incentive fee.
b. A member or candidate may not accept employment with the new firm, because Jackman's incentive offer violates the Code and Standards.
c. A member or candidate is not eligible for the new position unless he or she is currently unemployed, because soliciting the clients of the member's or candidate's current employer is prohibited.

Answer:","a,b,c",c,"{""a"": ""A member or candidate is eligible for the new position and incentive if he or she can arrange for enough current clients to switch to the new firm and if the member or candidate discloses the incentive fee."", ""b"": ""A member or candidate may not accept employment with the new firm, because Jackman's incentive offer violates the Code and Standards."", ""c"": ""A member or candidate is not eligible for the new position unless he or she is currently unemployed, because soliciting the clients of the member's or candidate's current employer is prohibited. Answer:""}",A member or candidate is eligible for the new position and incentive if he or she can arrange for enough current clients to switch to the new firm and if the member or candidate discloses the incentive fee.,"A member or candidate may not accept employment with the new firm, because Jackman's incentive offer violates the Code and Standards.","A member or candidate is not eligible for the new position unless he or she is currently unemployed, because soliciting the clients of the member's or candidate's current employer is prohibited. Answer:",
en_0052,"Carter works for Invest Today, a local asset management firm. A broker that provides Carter with proprietary research through client brokerage arrangements is offering a new trading service. The broker is offering low-fee, execution-only trades to complement its traditional full-service execution-and-research trades. To entice
Carter and other asset managers to send additional business its way, the broker will apply the commissions paid on the new service toward satisfying the brokerage commitment of the prior full-service arrangements. Carter has always been satisfied with the execution provided on the full-service trades, and the fees of the new low-fee trades are comparable to those of other brokers currently used for the accounts that prohibit soft dollar arrangements.","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Carter works for Invest Today, a local asset management firm. A broker that provides Carter with proprietary research through client brokerage arrangements is offering a new trading service. The broker is offering low-fee, execution-only trades to complement its traditional full-service execution-and-research trades. To entice
Carter and other asset managers to send additional business its way, the broker will apply the commissions paid on the new service toward satisfying the brokerage commitment of the prior full-service arrangements. Carter has always been satisfied with the execution provided on the full-service trades, and the fees of the new low-fee trades are comparable to those of other brokers currently used for the accounts that prohibit soft dollar arrangements.

Options:
a. Carter can trade for his accounts that prohibit soft dollar arrangements under the new low-fee trading scheme.
b. Carter cannot use the new trading scheme because the commissions are prohibited by the soft dollar restrictions of the accounts.
c. Carter should trade only through the new low-fee scheme and should increase his trading volume to meet his required commission commitment.

Answer:","a,b,c",a,"{""a"": ""Carter can trade for his accounts that prohibit soft dollar arrangements under the new low-fee trading scheme."", ""b"": ""Carter cannot use the new trading scheme because the commissions are prohibited by the soft dollar restrictions of the accounts."", ""c"": ""Carter should trade only through the new low-fee scheme and should increase his trading volume to meet his required commission commitment. Answer:""}",Carter can trade for his accounts that prohibit soft dollar arrangements under the new low-fee trading scheme.,Carter cannot use the new trading scheme because the commissions are prohibited by the soft dollar restrictions of the accounts.,Carter should trade only through the new low-fee scheme and should increase his trading volume to meet his required commission commitment. Answer:,
en_0053,"Rule has worked as a portfolio manager for a large investment management firm for E 44# the past 10 years. Rule earned his CFA charter last year and has decided to open his own investment management firm. After leaving his current employer, Rule creates some marketing material for his new firm. He states in the material, ""In earning the CFA charter, a highly regarded credential in the investment man-agement industry, I further enhanced the portfolio management skills learned during my professional career. While completing the examination process in three consecutive years, I consistently received the highest possible scores on the topics of Ethics, Alternative Investments, and Portfolio Management."" Has Rule violated Standard VI(B) Reference to CFA Institute, the CFA Designation, and the CFA Program in his marketing material?","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Rule has worked as a portfolio manager for a large investment management firm for E 44# the past 10 years. Rule earned his CFA charter last year and has decided to open his own investment management firm. After leaving his current employer, Rule creates some marketing material for his new firm. He states in the material, ""In earning the CFA charter, a highly regarded credential in the investment man-agement industry, I further enhanced the portfolio management skills learned during my professional career. While completing the examination process in three consecutive years, I consistently received the highest possible scores on the topics of Ethics, Alternative Investments, and Portfolio Management."" Has Rule violated Standard VI(B) Reference to CFA Institute, the CFA Designation, and the CFA Program in his marketing material?

Options:
a. Rule violated Standard VII(B) in stating that he completed the exams in three consecutive years.
b. Rule violated Standard VII(B) in stating that he received the highest scores in the topics of Ethics, Alternative Investments, and Portfolio Management.
c. Rule did not violate Standard VII(B).

Answer:","a,b,c",b,"{""a"": ""Rule violated Standard VII(B) in stating that he completed the exams in three consecutive years."", ""b"": ""Rule violated Standard VII(B) in stating that he received the highest scores in the topics of Ethics, Alternative Investments, and Portfolio Management."", ""c"": ""Rule did not violate Standard VII(B). Answer:""}",Rule violated Standard VII(B) in stating that he completed the exams in three consecutive years.,"Rule violated Standard VII(B) in stating that he received the highest scores in the topics of Ethics, Alternative Investments, and Portfolio Management.",Rule did not violate Standard VII(B). Answer:,
en_0054,Stafford is a portfolio manager for a specialized real estate mutual fund. Her firm clearly describes in the fund's prospectus its soft dollar policies. Stafford decides that entering the CFA Program will enhance her investment decision-making skill and decides to use the fund's soft dollar account to pay the registration and exam fees for the CFA Program. Which of the following statements is most likely correct?,"Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Stafford is a portfolio manager for a specialized real estate mutual fund. Her firm clearly describes in the fund's prospectus its soft dollar policies. Stafford decides that entering the CFA Program will enhance her investment decision-making skill and decides to use the fund's soft dollar account to pay the registration and exam fees for the CFA Program. Which of the following statements is most likely correct?

Options:
a. Stafford did not violate the Code and Standards because the prospectus informed investors of the fund's soft dollar policies.
b. Stafford violated the Code and Standards because improving her investment skills is not a reasonable use of the soft dollar account.
c. Stafford violated the Code and Standards because the CFA Program does not meet the definition of research allowed to be purchased with brokerage commissions.

Answer:","a,b,c",c,"{""a"": ""Stafford did not violate the Code and Standards because the prospectus informed investors of the fund's soft dollar policies."", ""b"": ""Stafford violated the Code and Standards because improving her investment skills is not a reasonable use of the soft dollar account."", ""c"": ""Stafford violated the Code and Standards because the CFA Program does not meet the definition of research allowed to be purchased with brokerage commissions. Answer:""}",Stafford did not violate the Code and Standards because the prospectus informed investors of the fund's soft dollar policies.,Stafford violated the Code and Standards because improving her investment skills is not a reasonable use of the soft dollar account.,Stafford violated the Code and Standards because the CFA Program does not meet the definition of research allowed to be purchased with brokerage commissions. Answer:,
en_0055,"Long has been asked to be the keynote speaker at an upcoming investment conference. The event is being hosted by one of the third-party investment managers currently used by his pension fund. The manager offers to cover all conference and travel costs for Long and make the conference registrations free for three additional members of his investment management team. To ensure that the conference obtains the best speakers, the host firm has arranged for an exclusive golf outing for the day following the conference on a local championship-caliber course. Which of the following is least likely to violate Standard |(B)?","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Long has been asked to be the keynote speaker at an upcoming investment conference. The event is being hosted by one of the third-party investment managers currently used by his pension fund. The manager offers to cover all conference and travel costs for Long and make the conference registrations free for three additional members of his investment management team. To ensure that the conference obtains the best speakers, the host firm has arranged for an exclusive golf outing for the day following the conference on a local championship-caliber course. Which of the following is least likely to violate Standard |(B)?

Options:
a. Long may accept only the offer to have his conference-related expenses paid by the host firm.
b. Long may accept the offer to have his conference-related expenses paid and may attend the exclusive golf outing at the expense of the hosting firm.
c. Long may accept the entire package of incentives offered to speak at this conference.

Answer:","a,b,c",a,"{""a"": ""Long may accept only the offer to have his conference-related expenses paid by the host firm."", ""b"": ""Long may accept the offer to have his conference-related expenses paid and may attend the exclusive golf outing at the expense of the hosting firm."", ""c"": ""Long may accept the entire package of incentives offered to speak at this conference. Answer:""}",Long may accept only the offer to have his conference-related expenses paid by the host firm.,Long may accept the offer to have his conference-related expenses paid and may attend the exclusive golf outing at the expense of the hosting firm.,Long may accept the entire package of incentives offered to speak at this conference. Answer:,
en_0056,"Andrews, a private wealth manager, is conducting interviews for a new research analyst for his firm. One of the candidates is Wright, an analyst with a local investment bank. During the interview, while Wright is describing his analytical skills, he mentions a current merger in which his firm is acting as the adviser. Andrews has heard rumors of a possible merger between the two companies, but no releases have been made by the companies concerned. Which of the following actions by Andrews is least likely a violation of the Code and Standards?","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Andrews, a private wealth manager, is conducting interviews for a new research analyst for his firm. One of the candidates is Wright, an analyst with a local investment bank. During the interview, while Wright is describing his analytical skills, he mentions a current merger in which his firm is acting as the adviser. Andrews has heard rumors of a possible merger between the two companies, but no releases have been made by the companies concerned. Which of the following actions by Andrews is least likely a violation of the Code and Standards?

Options:
a. Waiting until the next day before trading on the information to allow time for it to become public
b. Notifying all investment managers in his firm of the new information so none of their clients are disadvantaged
c. Placing the securities mentioned as part of the merger on the firm's restricted trading list

Answer:","a,b,c",c,"{""a"": ""Waiting until the next day before trading on the information to allow time for it to become public"", ""b"": ""Notifying all investment managers in his firm of the new information so none of their clients are disadvantaged"", ""c"": ""Placing the securities mentioned as part of the merger on the firm's restricted trading list Answer:""}",Waiting until the next day before trading on the information to allow time for it to become public,Notifying all investment managers in his firm of the new information so none of their clients are disadvantaged,Placing the securities mentioned as part of the merger on the firm's restricted trading list Answer:,
en_0057,"Pietro, president of Local Bank, has hired the bank's market maker, Vogt, to seek a merger partner. Local is currently listed on a stock exchange and has not reported that it is seeking strategic alternatives. Vogt has discussed the possibility of a merger with several firms, but they have all decided to wait until after the next period's financial data are available. The potential buyers believe the results will be worse than the results of prior periods and will allow them to pay less for Local Bank. Pietro wants to increase the likelihood of structuring a merger deal quickly. Which of the following actions would most likely be a violation of the Code and Standards?","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Pietro, president of Local Bank, has hired the bank's market maker, Vogt, to seek a merger partner. Local is currently listed on a stock exchange and has not reported that it is seeking strategic alternatives. Vogt has discussed the possibility of a merger with several firms, but they have all decided to wait until after the next period's financial data are available. The potential buyers believe the results will be worse than the results of prior periods and will allow them to pay less for Local Bank. Pietro wants to increase the likelihood of structuring a merger deal quickly. Which of the following actions would most likely be a violation of the Code and Standards?

Options:
a. Pietro could instruct Local Bank to issue a press release announcing that it has retained Vogt to find a merger partner.
b. Pietro could place a buy order for 2,000 shares (or four times the average weekly volume) through Vogt for his personal account.
c. After confirming with Local's chief financial officer, Pietro could instruct Local to issue a press release reaffirming the firm's prior announced earn-ings guidance for the full fiscal year.

Answer:","a,b,c",b,"{""a"": ""Pietro could instruct Local Bank to issue a press release announcing that it has retained Vogt to find a merger partner."", ""b"": ""Pietro could place a buy order for 2,000 shares (or four times the average weekly volume) through Vogt for his personal account."", ""c"": ""After confirming with Local's chief financial officer, Pietro could instruct Local to issue a press release reaffirming the firm's prior announced earn-ings guidance for the full fiscal year. Answer:""}",Pietro could instruct Local Bank to issue a press release announcing that it has retained Vogt to find a merger partner.,"Pietro could place a buy order for 2,000 shares (or four times the average weekly volume) through Vogt for his personal account.","After confirming with Local's chief financial officer, Pietro could instruct Local to issue a press release reaffirming the firm's prior announced earn-ings guidance for the full fiscal year. Answer:",
en_0059,"Cannan has been working from home on weekends and occasionally saves correspondence with clients and completed reports on her home computer. Because of worsening market conditions, Cannan is one of several employees released by her firm. While Cannan is looking for a new job, she uses the files she saved at home to request letters of recommendation from former clients. She also provides to prospective clients some of the reports as examples of her abilities. Which of the following statements is true?","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Cannan has been working from home on weekends and occasionally saves correspondence with clients and completed reports on her home computer. Because of worsening market conditions, Cannan is one of several employees released by her firm. While Cannan is looking for a new job, she uses the files she saved at home to request letters of recommendation from former clients. She also provides to prospective clients some of the reports as examples of her abilities. Which of the following statements is true?

Options:
a. Cannan violated the Code and Standards because she did not receive per-mission from her former employer to keep or use the files after her employ-ment ended.
b. Cannan did not violate the Code and Standards, because the files were cre-ated and saved on her own time and computer.
c. Cannan violated the Code and Standards because she is prohibited from saving files on her home computer.

Answer:","a,b,c",a,"{""a"": ""Cannan violated the Code and Standards because she did not receive per-mission from her former employer to keep or use the files after her employ-ment ended."", ""b"": ""Cannan did not violate the Code and Standards, because the files were cre-ated and saved on her own time and computer."", ""c"": ""Cannan violated the Code and Standards because she is prohibited from saving files on her home computer. Answer:""}",Cannan violated the Code and Standards because she did not receive per-mission from her former employer to keep or use the files after her employ-ment ended.,"Cannan did not violate the Code and Standards, because the files were cre-ated and saved on her own time and computer.",Cannan violated the Code and Standards because she is prohibited from saving files on her home computer. Answer:,
en_0060,"Quinn sat for the Level I|I CFA exam this past weekend. He updates his re-sume with the following statement: ""In finishing the CFA Program, I improved my skills related to researching investments and managing portfolios. I will be eligible for the CFA charter upon completion of the required work experience."" Which of the following statements is true?","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Quinn sat for the Level I|I CFA exam this past weekend. He updates his re-sume with the following statement: ""In finishing the CFA Program, I improved my skills related to researching investments and managing portfolios. I will be eligible for the CFA charter upon completion of the required work experience."" Which of the following statements is true?

Options:
a. Quinn violated the Code and Standards by claiming he improved his skills through the CFA Program.
b. Quinn violated the Code and Standards by incorrectly stating that he is eligible for the CFA charter.
c. Quinn did not violate the Code and Standards with his resume update.

Answer:","a,b,c",b,"{""a"": ""Quinn violated the Code and Standards by claiming he improved his skills through the CFA Program."", ""b"": ""Quinn violated the Code and Standards by incorrectly stating that he is eligible for the CFA charter."", ""c"": ""Quinn did not violate the Code and Standards with his resume update. Answer:""}",Quinn violated the Code and Standards by claiming he improved his skills through the CFA Program.,Quinn violated the Code and Standards by incorrectly stating that he is eligible for the CFA charter.,Quinn did not violate the Code and Standards with his resume update. Answer:,
en_0061,"During a round of golf, Rodriguez, chief financial officer of Meg Retail, mentin 48
Hart, a local investment adviser and long-time personal friend, that Mega is having an exceptional sales quarter. Rodriguez expects the results to be almost 10% above the current estimates. The next day, Hart initiates the purchase of a large stake in the local exchange-traded retail fund for her personal account.","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: During a round of golf, Rodriguez, chief financial officer of Meg Retail, mentin 48
Hart, a local investment adviser and long-time personal friend, that Mega is having an exceptional sales quarter. Rodriguez expects the results to be almost 10% above the current estimates. The next day, Hart initiates the purchase of a large stake in the local exchange-traded retail fund for her personal account.

Options:
a. Hart violated the Code and Standards by investing in the exchange-traded fund that included Mega Retail.
b. Hart did not violate the Code and Standards, because she did not invest directly in securities of Mega Retail.
c. Rodriguez did not violate the Code and Standards, because the comments made to Hart were not intended to solicit an investment in Mega Retail.

Answer:","a,b,c",a,"{""a"": ""Hart violated the Code and Standards by investing in the exchange-traded fund that included Mega Retail."", ""b"": ""Hart did not violate the Code and Standards, because she did not invest directly in securities of Mega Retail."", ""c"": ""Rodriguez did not violate the Code and Standards, because the comments made to Hart were not intended to solicit an investment in Mega Retail. Answer:""}",Hart violated the Code and Standards by investing in the exchange-traded fund that included Mega Retail.,"Hart did not violate the Code and Standards, because she did not invest directly in securities of Mega Retail.","Rodriguez did not violate the Code and Standards, because the comments made to Hart were not intended to solicit an investment in Mega Retail. Answer:",
en_0062,"Park is very frustrated after taking the Level I| CFA exam. While she was study-ing for E 44# the exam, to supplement the curriculum provided, she ordered and used study material from a third-party provider. Park believes the additional material focused her attention on specific topic areas that were not tested while ignoring other areas. She posts the following statement on the provider's discussion board: ""I am very dissatisfied with your firm's CFA Program Level Il material. I found the exam extremely difficult and myself unprepared for specific questions after using your product. How could your service provide such limited instructional resources on the analysis of inventories and taxes when the exam had multiple questions about them? I will not recommend your products to other candidates."" Which of the following statements is true?","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Park is very frustrated after taking the Level I| CFA exam. While she was study-ing for E 44# the exam, to supplement the curriculum provided, she ordered and used study material from a third-party provider. Park believes the additional material focused her attention on specific topic areas that were not tested while ignoring other areas. She posts the following statement on the provider's discussion board: ""I am very dissatisfied with your firm's CFA Program Level Il material. I found the exam extremely difficult and myself unprepared for specific questions after using your product. How could your service provide such limited instructional resources on the analysis of inventories and taxes when the exam had multiple questions about them? I will not recommend your products to other candidates."" Which of the following statements is true?

Options:
a. Park violated the Code and Standards by purchasing third-party review material.
b. Park violated the Code and Standards by providing her opinion on the diffi-culty of the exam.
c. Park violated the Code and Standards by providing specific information on topics tested on the exam.

Answer:","a,b,c",c,"{""a"": ""Park violated the Code and Standards by purchasing third-party review material."", ""b"": ""Park violated the Code and Standards by providing her opinion on the diffi-culty of the exam."", ""c"": ""Park violated the Code and Standards by providing specific information on topics tested on the exam. Answer:""}",Park violated the Code and Standards by purchasing third-party review material.,Park violated the Code and Standards by providing her opinion on the diffi-culty of the exam.,Park violated the Code and Standards by providing specific information on topics tested on the exam. Answer:,
en_0063,"Paper was recently terminated as one of a team of five managers of an equity fund.
The fund had two value-focused managers and terminated one of them to reduce costs. In a letter sent to prospective employers, Paper presents, with writ-ten permission of the firm, the performance history of the fund to demonstrate his past success. Which of the following statements is true?","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Paper was recently terminated as one of a team of five managers of an equity fund.
The fund had two value-focused managers and terminated one of them to reduce costs. In a letter sent to prospective employers, Paper presents, with writ-ten permission of the firm, the performance history of the fund to demonstrate his past success. Which of the following statements is true?

Options:
a. Paper did not violate the Code and Standards.
b. Paper violated the Code and Standards by claiming the performance of the entire fund as his own.
c. Paper violated the Code and Standards by including the historical results of his prior employer.

Answer:","a,b,c",b,"{""a"": ""Paper did not violate the Code and Standards."", ""b"": ""Paper violated the Code and Standards by claiming the performance of the entire fund as his own."", ""c"": ""Paper violated the Code and Standards by including the historical results of his prior employer. Answer:""}",Paper did not violate the Code and Standards.,Paper violated the Code and Standards by claiming the performance of the entire fund as his own.,Paper violated the Code and Standards by including the historical results of his prior employer. Answer:,
en_0065,"A firm that does not adopt the GIPS standards could mischaracterize its overall
performance by presenting a performance history:","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: A firm that does not adopt the GIPS standards could mischaracterize its overall
performance by presenting a performance history:

Options:
a. that includes terminated portfolios.
b. composed of a single top-performing portfolio.
c. for an investment mandate over all periods since the firm's inception.

Answer:","a,b,c",b,"{""a"": ""that includes terminated portfolios."", ""b"": ""composed of a single top-performing portfolio."", ""c"": ""for an investment mandate over all periods since the firm's inception. Answer:""}",that includes terminated portfolios.,composed of a single top-performing portfolio.,for an investment mandate over all periods since the firm's inception. Answer:,
en_0066,"SBS Bank (SBS) serves as a custody bank for a wide range of clients. SBS offers a variety of services to its clients, including custody, clearing, payment, settlement, and record keeping. SBS charges its clients an asset-based fee for these services.
Pursuant to the bank's client agreement, custody clients agree to reimburse the bank for out-of-pocket expenses for items paid by the custodian on their behalf. The majority of these expenses are for messages sent via the Society for Worldwide Interbank Financial Telecommunication (SWIFT), a secure messaging network used by banks and other financial institutions. Although SBS charges custody clients an established rate for SWIFT messages, the rate is greater than the actual cost of providing this service. Mandracken, CFA, a vice president at SBS who oversees client service responsibilities, recognizes this discrepancy and brings it to the attention of his supervisor. In an email, Mandracken states that ""although disclosure of charging for SWIFT fees is noted in the clients' fee schedules, the fees have always included
an increase over actual cost, so the charge to clients is not a true pass-through because we add a mar-gin."" Mandracken's supervisor instructs him to reduce the
SWIFT fee rate for new clients and to revisit the rate for existing clients when their contracts are renewed.
To meet his obligations under the CFA Institute Code and Standards, Mandracken should","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: SBS Bank (SBS) serves as a custody bank for a wide range of clients. SBS offers a variety of services to its clients, including custody, clearing, payment, settlement, and record keeping. SBS charges its clients an asset-based fee for these services.
Pursuant to the bank's client agreement, custody clients agree to reimburse the bank for out-of-pocket expenses for items paid by the custodian on their behalf. The majority of these expenses are for messages sent via the Society for Worldwide Interbank Financial Telecommunication (SWIFT), a secure messaging network used by banks and other financial institutions. Although SBS charges custody clients an established rate for SWIFT messages, the rate is greater than the actual cost of providing this service. Mandracken, CFA, a vice president at SBS who oversees client service responsibilities, recognizes this discrepancy and brings it to the attention of his supervisor. In an email, Mandracken states that ""although disclosure of charging for SWIFT fees is noted in the clients' fee schedules, the fees have always included
an increase over actual cost, so the charge to clients is not a true pass-through because we add a mar-gin."" Mandracken's supervisor instructs him to reduce the
SWIFT fee rate for new clients and to revisit the rate for existing clients when their contracts are renewed.
To meet his obligations under the CFA Institute Code and Standards, Mandracken should

Options:
a. implement the corrective procedures as directed by his supervisor.
b. implement the corrective procedures as directed by his supervisor but report his objections to the bank's board of directors.
c. refuse to participate in any client interactions using the fee schedule until the bank revises the SWIFT rate to reflect the actual cost of the service.

Answer:","a,b,c",c,"{""a"": ""implement the corrective procedures as directed by his supervisor."", ""b"": ""implement the corrective procedures as directed by his supervisor but report his objections to the bank's board of directors."", ""c"": ""refuse to participate in any client interactions using the fee schedule until the bank revises the SWIFT rate to reflect the actual cost of the service. Answer:""}",implement the corrective procedures as directed by his supervisor.,implement the corrective procedures as directed by his supervisor but report his objections to the bank's board of directors.,refuse to participate in any client interactions using the fee schedule until the bank revises the SWIFT rate to reflect the actual cost of the service. Answer:,
en_0067,"Pellie, CFA, is CEO of Kwaume Investment Group (KIG), an investment adviser that is E 444# a wholly owned subsidiary of Kwaume Bank. A longtime bank customer that Pellie and some of the bank's board members know personally recently opened an invest-ment
account at KIG with a stated investment objective of earning income. The client made a few investments over the course of the next year, but most of the activity in the account involved several hundred bank transactions that totaled $90 million in deposits and $84 million in withdrawals. The transactions included electronic transfers to and from individuals and entities located in bank secrecy havens and countries identified by the government as at risk for money-laundering activity. Pellie knew that the client was engaged in international business pursuits involving transactions with a higher risk potential for corruption and bribery. Given the client's longstanding relationship with the bank, Pellie assumes the transactions have a legitimate business purpose and accepts vague descriptions, such as ""for services provided,"" ""consulting fees,"" and ""commissions."" When he receives the daily anti-money-laundering (AML) reports, which are required by law when trans-actions trigger red flags of potentially suspicious activity, he approves them without further inquiry. Pellie's actions are","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Pellie, CFA, is CEO of Kwaume Investment Group (KIG), an investment adviser that is E 444# a wholly owned subsidiary of Kwaume Bank. A longtime bank customer that Pellie and some of the bank's board members know personally recently opened an invest-ment
account at KIG with a stated investment objective of earning income. The client made a few investments over the course of the next year, but most of the activity in the account involved several hundred bank transactions that totaled $90 million in deposits and $84 million in withdrawals. The transactions included electronic transfers to and from individuals and entities located in bank secrecy havens and countries identified by the government as at risk for money-laundering activity. Pellie knew that the client was engaged in international business pursuits involving transactions with a higher risk potential for corruption and bribery. Given the client's longstanding relationship with the bank, Pellie assumes the transactions have a legitimate business purpose and accepts vague descriptions, such as ""for services provided,"" ""consulting fees,"" and ""commissions."" When he receives the daily anti-money-laundering (AML) reports, which are required by law when trans-actions trigger red flags of potentially suspicious activity, he approves them without further inquiry. Pellie's actions are

Options:
a. a violation of the CFA Institute Code and Standards.
b. appropriate because Pellie is protecting the confidentiality of client information.
c. appropriate because Pellie can rely on the account's clearing firm to report suspicious activity for the account.

Answer:","a,b,c",a,"{""a"": ""a violation of the CFA Institute Code and Standards."", ""b"": ""appropriate because Pellie is protecting the confidentiality of client information."", ""c"": ""appropriate because Pellie can rely on the account's clearing firm to report suspicious activity for the account. Answer:""}",a violation of the CFA Institute Code and Standards.,appropriate because Pellie is protecting the confidentiality of client information.,appropriate because Pellie can rely on the account's clearing firm to report suspicious activity for the account. Answer:,
